Name,Price,Delivery_Charge,URL
LG 그램 12세대 노트북 16Z90Q-GA76K 윈도우11 탑재 ,"2,439,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2286420074
VICTUS 16-e0144AX 노트북 게이밍 RTX3050Ti ,"1,219,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2286420074
ASUS 노트북 M513UA-L1284 최종62만/삼성OLED/R5-5500U ,"699,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2286420074
ASUS TUF FX506LH-HN002 한정200대 GTX1650/당일출고 ,"845,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2286420074
EJ LG 울트라PC 15UD50P-GX50K 마우스+패드 증정 ,"795,410",무료배송,http://item.gmarket.co.kr/Item?goodscode=2286420074
ASUS VivoBook Pro 16X N7600PC-L2007 /146.9만+한컴 ,"1,549,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2286420074
LG그램 12세대 17ZD90Q-GX56K 대학생노트북 최종 193만 ,"1,999,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2286420074
,,,
SAMSUNG 갤럭시북 NT950XDY-A51A 윈도우10탑재 배송 ,"1,278,420",무료배송,http://item.gmarket.co.kr/Item?goodscode=2286420074
ASUS 비보북 X1603ZA-MB139 노트북 16:10대화면/80만 ,"849,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2286420074
갤럭시북 NT750XDZ-A51A 1.55kg 대학생 추천 최종 83만 ,"999,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2286420074
LG그램 17ZD90Q-EX76K RTX 2050 / i7 22년형 최종227만 ,"2,399,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2286420074
그램 16ZD90Q-GX5LK 노트북 22년 신제품 ,"1,899,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2286420074
ASUS ROG SCAR G733ZM-LL035 게이밍노트북 예약판매 ,"2,199,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2286420074
ASUS 젠북듀오 UX482EGR-KA377W 최종159만 i7/MX450/1T ,"1,779,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2286420074
Gaming3i 15IHU i5 3050 가성비 게이밍 노트북 무상UP ,"899,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2286420074
,,,
LG 그램360 12세대 노트북 16TD90Q-GX70K i7 고성능 ,"2,199,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2286420074
HP VICTUS 16-d1142TX 최종142만/512G업/i7/12th/DDR5 ,"1,599,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2286420074
K3500PC-L1154 중복8만|최종106만|OLED|RTX3050 ,"1,149,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2286420074
FX517ZM-HN118 인텔12세대/RTX3060/144hz 당일출고 ,"1,649,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2286420074
,,,
ASUS 노트북 D515UA-BQ022 루시엔R5 /SSD256G/최종53만 ,"599,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2286420074
LEGION 5 Pro 16ACH R7 STORM 3060 DOS/최종 149만 ,"1,678,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2286420074
15Z95P-GA56K 램16GB+NVME512GB 노트북 ,"1,580,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2286420074
,,,
17s-cu0015TU 노트북 17형 대화면 가성비 사무용 ,"749,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2286420074
레노버 아이디어패드 Slim3 14ALC R5 DOS 블루 47만 ,"499,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2286420074
SLIM5-15ITL Premiere i5 Plus FreeDos 인텔포커스79만 ,"849,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2286420074
,,,
그램 16ZD90Q-GX56K 노트북 22년 신제품 ,"1,899,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2286420074
LG그램 2022 신제품 15ZD95P-GX56K 120만초특가 노트북 ,"1,388,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2286420074
LG 그램 12세대 노트북 16ZD90Q-EX76K 외장그래픽 탑재 ,"2,299,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2286420074
젠북 14X OLED UM5401QA-KN029 특가118만 R7/16GB/512 ,"1,299,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2286420074
FX706HEB-HX113 중복 7만 카드 5만 최종97만 RTX3050Ti ,"1,099,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2286420074
LG 그램360 12세대 노트북 16T90Q-GA79K 윈도우11 탑재 ,"2,569,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2286420074
X515EA-BQ041 (중복7만 최종50.9만) ASUS 가성비노트북 인텔 i5-1135G 8GB NVMe 256GB 프리도스 ,"579,000",무료배송,http://item.gmarket.co.kr/Item?goodscode=2286420074
